Date,Open,High,Low,Close,Volume,Adj Close
2014-11-12,12.98,13.07,12.695,12.745,8534700,12.228
2014-11-11,12.55,13.135,12.535,12.99,13637700,12.463
2014-11-10,12.315,12.48,12.31,12.47,4725800,11.964
2014-11-07,12.56,12.645,12.31,12.365,8038800,11.863
2014-11-06,12.61,12.82,12.405,12.57,11072200,12.06
2014-11-05,12.41,12.71,12.31,12.705,8945500,12.189
2014-11-04,12.40,12.53,12.25,12.31,8997300,11.81
2014-11-03,12.675,12.69,12.415,12.46,8209800,11.954
2014-10-31,12.52,12.86,12.49,12.715,13107200,12.199
2014-10-30,12.215,12.38,11.915,12.37,10425700,11.868
2014-10-29,12.105,12.325,12.10,12.215,8156900,11.719
2014-10-28,11.725,12.065,11.705,12.035,9285800,11.546
2014-10-27,11.69,11.76,11.435,11.62,7820100,11.148
2014-10-24,11.395,11.675,11.30,11.58,10773300,11.11
2014-10-23,11.08,11.49,11.035,11.42,17339700,10.956
2014-10-22,10.905,10.99,10.825,10.915,9975100,10.472
2014-10-21,10.735,10.94,10.69,10.915,9753800,10.472
2014-10-20,10.605,10.825,10.53,10.80,9339800,10.362
2014-10-17,10.505,10.715,10.49,10.65,13730500,10.218
2014-10-16,10.85,10.895,10.20,10.52,20662700,10.093
2014-10-15,11.145,11.155,10.705,10.725,12709300,10.29
2014-10-14,11.02,11.22,10.79,11.18,17462200,10.726
2014-10-13,10.705,10.885,10.65,10.85,6389000,10.409
2014-10-10,10.845,10.96,10.75,10.805,8056400,10.366
2014-10-09,11.17,11.18,10.82,10.90,9833700,10.457
2014-10-08,11.075,11.17,11.00,11.045,8004600,10.597
2014-10-07,11.26,11.27,11.035,11.06,9872600,10.611
2014-10-06,11.39,11.455,11.24,11.29,5290300,10.832
2014-10-03,11.235,11.37,11.165,11.315,8146600,10.856
2014-10-02,11.40,11.48,11.135,11.135,11896000,10.683
2014-10-01,11.72,11.73,11.405,11.415,43998100,10.952
2014-09-30,11.70,11.945,11.65,11.905,10628600,11.422
2014-09-29,11.615,11.685,11.475,11.585,5613300,11.115
2014-09-26,11.51,11.605,11.46,11.56,5856000,11.091
2014-09-25,11.58,11.785,11.475,11.52,6134300,11.052
2014-09-24,11.44,11.63,11.375,11.62,5732000,11.148
2014-09-23,11.56,11.625,11.405,11.425,5813900,10.961
2014-09-22,11.595,11.645,11.54,11.565,4831400,11.095
2014-09-19,11.70,11.715,11.49,11.60,9912700,11.129
2014-09-18,11.495,11.545,11.46,11.515,5737800,11.047
2014-09-17,11.345,11.50,11.34,11.415,7430200,10.952
2014-09-16,11.30,11.38,11.15,11.29,9695900,10.832
2014-09-15,11.655,11.695,11.37,11.445,8785800,10.98
2014-09-12,11.775,11.79,11.60,11.67,5290800,11.196
2014-09-11,11.675,11.835,11.63,11.715,11460700,11.239
2014-09-10,11.395,11.495,11.385,11.465,4025000,11.00
2014-09-09,11.42,11.605,11.39,11.415,5671200,10.952
2014-09-08,11.355,11.51,11.34,11.46,5681500,10.995
2014-09-05,11.265,11.40,11.215,11.355,8792500,10.894
2014-09-04,11.04,11.33,11.00,11.21,9728800,10.755
2014-09-03,11.11,11.14,10.99,11.095,10488800,10.645
2014-09-02,11.21,11.22,10.99,11.09,10873400,10.64
2014-09-01,11.52,11.55,11.07,11.215,11411100,10.76
